L,dat. du.,L
L,-90,L
L,-57,L
L,8_fp,L
L,169,L
L,54,L
L,153,L
L,-24,L
L,137,L
L,-112,L
L,101,L
L,91,L
L,3_du,L
L,91,T
C,3_du,T
T,8_fp,L
T,54,L
T,153,L
T,137,L
T,-112,L
T,101,L
T,91,L
L,2_sp,dat. du.,L
L,2_sp,8_fp,L
L,2_sp,54,L
L,2_sp,pl,L
L,2_sp,28,L
L,2_sp,137,L
L,2_sp,101,L
L,2_sp,3_du,L
L,5_du,dat. du.,L
L,5_du,-57,L
L,5_du,8_fp,L
L,5_du,54,L
L,5_du,pl,L
L,5_du,153,L
L,5_du,28,L
L,5_du,-24,L
L,5_du,137,L
L,5_du,-112,L
L,5_du,101,L
L,5_du,91,L
L,5_du,-35,L
L,5_du,3_du,L
L,gen. sg.,dat. du.,L
L,gen. sg.,-90,L
L,gen. sg.,-57,L
L,gen. sg.,8_fp,L
L,gen. sg.,54,L
L,gen. sg.,153,L
L,gen. sg.,-24,L
L,gen. sg.,137,L
L,gen. sg.,-112,L
L,gen. sg.,101,L
L,gen. sg.,91,L
L,gen. sg.,3_du,L
L,15_sp,101,L
L,5_sp,dat. du.,L
L,5_sp,-151,L
L,5_sp,-57,L
L,5_sp,8_fp,L
L,5_sp,169,L
L,5_sp,pl,L
L,5_sp,153,L
L,5_sp,-24,L
L,5_sp,137,L
L,5_sp,-112,L
L,5_sp,101,L
L,5_sp,91,L
L,5_sp,3_du,L
L,dat. du.,5_sp,L
L,dat. du.,dat. du.,L
L,dat. du.,-151,L
L,dat. du.,-90,L
L,dat. du.,8_fp,L
L,dat. du.,54,L
L,dat. du.,pl,L
L,dat. du.,153,L
L,dat. du.,-24,L
L,dat. du.,137,L
L,dat. du.,-112,L
L,dat. du.,101,L
L,dat. du.,-35,L
L,dat. du.,3_du,L
L,-37,54,L
L,-37,153,L
L,-37,137,L
L,-37,-112,L
L,-37,101,L
L,15_du,dat. du.,L
L,15_du,-151,L
L,15_du,-90,L
L,15_du,-57,L
L,15_du,8_fp,L
L,15_du,169,L
L,15_du,54,L
L,15_du,pl,L
L,15_du,153,L
L,15_du,28,L
L,15_du,-24,L
L,15_du,137,L
L,15_du,-112,L
L,15_du,101,L
L,15_du,91,L
L,15_du,-35,L
L,15_du,3_du,L
L,-151,dat. du.,L
L,-151,-90,L
L,-151,8_fp,L
L,-151,169,L
L,-151,54,L
L,-151,pl,L
L,-151,153,L
L,-151,28,L
L,-151,-24,L
L,-151,137,L
L,-151,-112,L
L,-151,101,L
L,-151,91,L
L,-151,-35,L
L,-151,3_du,L
L,39,dat. du.,L
L,39,8_fp,L
L,39,54,L
L,39,153,L
L,39,137,L
L,39,-112,L
L,39,101,L
L,39,91,L
L,39,3_du,L
L,12_fp,101,L
L,-306,5_sp,L
L,-306,dat. du.,L
L,-306,-151,L
L,-306,-90,L
L,-306,-57,L
L,-306,8_fp,L
L,-306,169,L
L,-306,54,L
L,-306,pl,L
L,-306,153,L
L,-306,28,L
L,-306,-24,L
L,-306,137,L
L,-306,-112,L
L,-306,101,L
L,-306,91,L
L,-306,-35,L
L,-306,3_du,L
L,-64,dat. du.,L
L,-64,54,L
L,-64,137,L
L,-64,101,L
L,-64,3_du,L
L,-90,-151,L
L,-90,-90,L
L,-90,8_fp,L
L,-90,169,L
L,-90,54,L
L,-90,pl,L
L,-90,153,L
L,-90,28,L
L,-90,-24,L
L,-90,137,L
L,-90,-112,L
L,-90,101,L
L,-90,91,L
L,-90,-35,L
L,-90,3_du,L
L,-210,8_fp,L
L,-210,54,L
L,-210,153,L
L,-210,-112,L
L,-210,101,L
L,-210,91,L
L,-210,3_du,L
L,-159,dat. du.,L
L,-159,8_fp,L
L,-159,54,L
L,-159,pl,L
L,-159,153,L
L,-159,-24,L
L,-159,137,L
L,-159,-112,L
L,-159,101,L
L,-159,91,L
L,-159,3_du,L
L,-57,dat. du.,L
L,-57,54,L
L,-57,pl,L
L,-57,153,L
L,-57,-24,L
L,-57,137,L
L,-57,-112,L
L,-57,101,L
L,-57,91,L
L,-57,3_du,L
L,10_sp,5_sp,L
L,10_sp,dat. du.,L
L,10_sp,8_fp,L
L,10_sp,54,L
L,10_sp,pl,L
L,10_sp,153,L
L,10_sp,28,L
L,10_sp,137,L
L,10_sp,-112,L
L,10_sp,101,L
L,10_sp,-35,L
L,10_sp,3_du,L
L,6_sg,dat. du.,L
L,6_sg,8_fp,L
L,6_sg,54,L
L,6_sg,pl,L
L,6_sg,28,L
L,6_sg,137,L
L,6_sg,101,L
L,6_sg,3_du,L
L,8_fp,dat. du.,L
L,8_fp,-151,L
L,8_fp,-57,L
L,8_fp,8_fp,L
L,8_fp,169,L
L,8_fp,54,L
L,8_fp,pl,L
L,8_fp,153,L
L,8_fp,28,L
L,8_fp,-24,L
L,8_fp,137,L
L,8_fp,-112,L
L,8_fp,101,L
L,8_fp,91,L
L,8_fp,-35,L
L,8_fp,3_du,L
L,4_pl,dat. du.,L
L,4_pl,8_fp,L
L,4_pl,54,L
L,4_pl,pl,L
L,4_pl,153,L
L,4_pl,28,L
L,4_pl,-24,L
L,4_pl,137,L
L,4_pl,-112,L
L,4_pl,101,L
L,4_pl,91,L
L,4_pl,-35,L
L,4_pl,3_du,L
L,169,dat. du.,L
L,169,-151,L
L,169,-90,L
L,169,-57,L
L,169,8_fp,L
L,169,169,L
L,169,54,L
L,169,153,L
L,169,28,L
L,169,-24,L
L,169,137,L
L,169,-112,L
L,169,101,L
L,169,3_du,L
L,54,5_sp,L
L,54,dat. du.,L
L,54,-151,L
L,54,-90,L
L,54,-57,L
L,54,8_fp,L
L,54,169,L
L,54,54,L
L,54,114,L
L,54,pl,L
L,54,153,L
L,54,-24,L
L,54,137,L
L,54,-112,L
L,54,101,L
L,54,91,L
L,54,-35,L
L,54,3_du,L
L,114,dat. du.,L
L,114,-151,L
L,114,-90,L
L,114,8_fp,L
L,114,169,L
L,114,54,L
L,114,pl,L
L,114,153,L
L,114,-24,L
L,114,137,L
L,114,-112,L
L,114,101,L
L,114,-35,L
L,114,3_du,L
L,loc. sg.,54,L
L,-139,5_sp,L
L,-139,dat. du.,L
L,-139,-151,L
L,-139,-90,L
L,-139,-57,L
L,-139,8_fp,L
L,-139,169,L
L,-139,54,L
L,-139,pl,L
L,-139,153,L
L,-139,28,L
L,-139,-24,L
L,-139,137,L
L,-139,-112,L
L,-139,101,L
L,-139,91,L
L,-139,-35,L
L,-139,3_du,L
L,8_du,dat. du.,L
L,8_du,8_fp,L
L,8_du,54,L
L,8_du,pl,L
L,8_du,28,L
L,8_du,137,L
L,8_du,101,L
L,8_du,-35,L
L,8_du,3_du,L
L,-166,dat. du.,L
L,-166,8_fp,L
L,-166,54,L
L,-166,pl,L
L,-166,153,L
L,-166,137,L
L,-166,-112,L
L,-166,101,L
L,-166,-35,L
L,-166,3_du,L
L,139,5_sp,L
L,139,dat. du.,L
L,139,-90,L
L,139,-57,L
L,139,8_fp,L
L,139,169,L
L,139,54,L
L,139,pl,L
L,139,153,L
L,139,135,L
L,139,28,L
